,idAluno,nota,situacao,submissões diferentes e iguais a 100% semana 1,submissões diferentes e iguais a 100% semana 2,submissões diferentes e iguais a 100% semana 3,submissões diferentes e iguais a 100% semana 4,submissões diferentes e iguais a 100% semana 5,submissões diferentes e iguais a 100% semana 6,submissões diferentes e iguais a 100% semana 7,submissões diferentes e iguais a 100% semana 8,submissões diferentes e iguais a 100% semana 9,submissões diferentes e iguais a 100% semana 10,submissões diferentes e iguais a 100% semana 11,submissões diferentes e iguais a 100% semana 12,submissões diferentes e iguais a 100% semana 13,submissões diferentes e iguais a 100% semana 14,submissões diferentes e iguais a 100% semana 15,submissões diferentes e iguais a 100% semana 16,submissões diferentes e iguais a 100% semana 17,submissões diferentes e iguais a 100% semana 18
0,5991cb910be9d42f2f68b906,7.9,APROVADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,5991cb910be9d42f2f68b906,7.9,APROVADO,0.0,0.0,0.0,5.0,13.0,5.0,0.0,15.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,5991cb910be9d42f2f68b906,7.9,APROVADO,0.0,0.0,0.0,5.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,5991cb910be9d42f2f68b906,7.9,APROVADO,0.0,0.0,0.0,5.0,13.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,5991cb910be9d42f2f68b906,7.9,APROVADO,0.0,0.0,0.0,5.0,13.0,5.0,0.0,15.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,5991cb910be9d42f2f68b906,7.9,APROVADO,0.0,0.0,0.0,5.0,13.0,5.0,0.0,15.0,9.0,0.0,0.0,16.0,3.0,0.0,0.0,19.0,0.0,9.0
14,5991cb910be9d42f2f68b906,7.9,APROVADO,0.0,0.0,0.0,5.0,13.0,5.0,0.0,15.0,9.0,0.0,0.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0
13,5991cb910be9d42f2f68b906,7.9,APROVADO,0.0,0.0,0.0,5.0,13.0,5.0,0.0,15.0,9.0,0.0,0.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0
12,5991cb910be9d42f2f68b906,7.9,APROVADO,0.0,0.0,0.0,5.0,13.0,5.0,0.0,15.0,9.0,0.0,0.0,16.0,3.0,0.0,0.0,19.0,0.0,0.0
11,5991cb910be9d42f2f68b906,7.9,APROVADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,5991cb910be9d42f2f68b906,7.9,APROVADO,0.0,0.0,0.0,5.0,13.0,5.0,0.0,15.0,9.0,0.0,0.0,16.0,3.0,0.0,0.0,19.0,0.0,9.0
9,5991cb910be9d42f2f68b906,7.9,APROVADO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,5991cb910be9d42f2f68b906,7.9,APROVADO,0.0,0.0,0.0,5.0,13.0,5.0,0.0,15.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,5991cb910be9d42f2f68b906,7.9,APROVADO,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,5991cb910be9d42f2f68b906,7.9,APROVADO,0.0,0.0,0.0,5.0,13.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
